factor_id,factor_status,production_profile_count,production_valid_or_warning_count,production_controlled_outcome_count,production_value_coverage_ratio,production_controlled_coverage_ratio,production_coverage_ratio,minimum_coverage_ratio,factor_gate_status,percentile_authorized,policy_reason,authority,trade_authority
FIN_NET_DEBT_TO_EQUITY,DIAGNOSTIC_ONLY,5102,618,624,0.12112896903175226,0.12230497843982752,0.12230497843982752,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Current provider mapping produces insufficient full-market debt-component coverage,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_NET_MARGIN_PARENT_TTM,PRODUCTION_CORE,5102,4994,4996,0.9788318306546452,0.9792238337906704,0.9792238337906704,0.6,ACCEPTED_PRODUCTION_CORE,True,Core shareholder profitability measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_TTM,PRODUCTION_CORE,5102,4994,4996,0.9788318306546452,0.9792238337906704,0.9792238337906704,0.6,ACCEPTED_PRODUCTION_CORE,True,Core operating profitability measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_YOY_DELTA,PRODUCTION_CORE,5102,4883,4888,0.9570756566052528,0.9580556644453155,0.9580556644453155,0.6,ACCEPTED_PRODUCTION_CORE,True,Core operating-profitability change measure after comparability controls,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_PARENT_NI_CAGR_3Y,DEFERRED_HISTORY,5102,0,0,0.0,0.0,0.0,0.0,DEFERRED_HISTORY,False,Accepted Statement Current lacks sufficient three-year comparable history,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_PARENT_NI_YOY,PRODUCTION_CORE,5102,3060,4890,0.5997647981183849,0.9584476675813407,0.9584476675813407,0.6,ACCEPTED_PRODUCTION_CORE,True,Core earnings-growth measure after sign-transition controls,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_PPNE_TO_ASSETS,DIAGNOSTIC_ONLY,5102,5081,5081,0.9958839670717365,0.9958839670717365,0.9958839670717365,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Asset intensity is business-model dependent and retained as a diagnostic,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_RECEIVABLES_TO_REVENUE_TTM,DIAGNOSTIC_ONLY,5102,4987,4989,0.9774598196785574,0.9778518228145825,0.9778518228145825,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Receivables intensity is business-model dependent and retained as a diagnostic,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_REVENUE_CAGR_3Y,DEFERRED_HISTORY,5102,0,0,0.0,0.0,0.0,0.0,DEFERRED_HISTORY,False,Accepted Statement Current lacks sufficient three-year comparable history,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_REVENUE_YOY,PRODUCTION_CORE,5102,4885,4888,0.9574676597412779,0.9580556644453155,0.9580556644453155,0.6,ACCEPTED_PRODUCTION_CORE,True,Core top-line growth measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ROA_AVG_ASSETS_TTM,PRODUCTION_CORE,5102,4997,4997,0.9794198353586828,0.9794198353586828,0.9794198353586828,0.6,ACCEPTED_PRODUCTION_CORE,True,Core return-on-assets measure using average assets,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ROE_AVG_PARENT_EQUITY_TTM,PRODUCTION_CORE,5102,4969,4997,0.9739317914543316,0.9794198353586828,0.9794198353586828,0.6,ACCEPTED_PRODUCTION_CORE,True,Core shareholder return measure using average parent equity,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
