security_id,issuer_id,stock_code_5d,official_security_name_en,official_issuer_name_en,issuer_identity_status,issuer_identity_basis,hkex_di_sid,hkex_di_all_sids,hkex_di_all_issuer_names,category,sub_category,security_type,board_lot,isin,trading_currency,rmb_counter_code,dual_counter_flag,wvr_flag,secondary_listing_flag,biotech_chapter18a_flag,h_share_flag,a_share_class_exists,depositary_receipt_flag,gem_flag,source_release_id,hkex_full_list_sha256,di_response_sha256
HKEX:00014,HKEX-ISSUER:5917cdcbed37405d,00014,HYSAN DEV,Hysan Development Co. Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,21,21,Hysan Development Co. Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0014000126,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,13034f36607c65a899a3c051e418d8fc674ff3e9cd48f73e271f8d14a0c5becf
HKEX:00016,HKEX-ISSUER:3ade9bfd1e385d23,00016,SHK PPT,Sun Hung Kai Properties Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,25,25,Sun Hung Kai Properties Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,500,HK0016000132,HKD,80016,True,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,a3f5cbb1e568fc71054f32793718a7c68be0a5af2ef813c165165abd6ffd1e63
HKEX:00017,HKEX-ISSUER:17516e790ece92c5,00017,NEW WORLD DEV,New World Development Co. Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,27,27,New World Development Co. Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0000608585,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,e9a68a64d05f4198f448f199f29b3d6095d7679739d8a55fb37c00af7b8537be
HKEX:00019,HKEX-ISSUER:ab9ef72cc9ecfd99,00019,SWIRE PACIFIC A,Swire Pacific Ltd. 'A',CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,29,29,Swire Pacific Ltd. 'A',Equity,Equity Securities (Main Board),COMMON_EQUITY,500,HK0019000162,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,8d20abea9e6f622dde8817487163b3ef47a7c51be44fcc0116508952adc24da5
HKEX:00020,HKEX-ISSUER:aa7d6d495450c204,00020,SENSETIME-W,SenseTime Group Inc. - W,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,374730,374730,SenseTime Group Inc. - W,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,KYG8062L1041,HKD,80020,True,True,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,ca1ada79e89a75b735425702daa866054f88f97dcf16bb9531e18fc228a02449
HKEX:00023,HKEX-ISSUER:4bf6b7e454922665,00023,BANK OF E ASIA,"Bank of East Asia, Ltd., The",CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,33,33,"Bank of East Asia, Ltd., The",Equity,Equity Securities (Main Board),COMMON_EQUITY,200,HK0023000190,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,f5a5d32b38b535dc031bef4e90d443176c82878f98c14d9dca30cb5fab2efb62
HKEX:00027,HKEX-ISSUER:6cb278aa8f09561f,00027,GALAXY ENT,Galaxy Entertainment Group Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,37,37,Galaxy Entertainment Group Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0027032686,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,a7d98099b791cfaad3b0544f2554aa6a3180825e3bbbf9fb5c9d5610ccb007bc
HKEX:00038,HKEX-ISSUER:5fdde8bf9b122c78,00038,FIRST TRACTOR,First Tractor Co Ltd.  - H Shares,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,53,53|53,First Tractor Co Ltd.  - A Shares|First Tractor Co Ltd.  - H Shares,Equity,Equity Securities (Main Board),COMMON_EQUITY,2000,CNE100000320,HKD,,False,False,False,False,True,True,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,829f4caa84b844461bc0d14f84b429200bf142fbe4d460d2bd8f24f91df296c9
HKEX:00041,HKEX-ISSUER:ee9a79a294a0ffcb,00041,GREAT EAGLE H,Great Eagle Holdings Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,60,60,Great Eagle Holdings Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,BMG4069C1486,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,7f3e017a7e0fbeeb5a30fe5ea91eb8e6bb7f6dadf71be9869a486b78d624a718
HKEX:00066,HKEX-ISSUER:ad5a514fa614d6df,00066,MTR CORPORATION,MTR Corporation Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,110,110,MTR Corporation Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,500,HK0066009694,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,d3bc514dbb5ac48e79c9d23379902c7441f5a579bc95e2edf4cdb8a312abf853
HKEX:00081,HKEX-ISSUER:6856ddaaa02a917d,00081,CH OVS G OCEANS,China Overseas Grand Oceans Group Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,133,133,China Overseas Grand Oceans Group Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0000065737,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,167f725ea59b1deae576cee9548873564c53f36b4c9d4520ae30b5b2da8801ba
HKEX:00083,HKEX-ISSUER:7a5cc397d26a4f4c,00083,SINO LAND,Sino Land Co. Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,136,136,Sino Land Co. Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,2000,HK0083000502,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,6437e907ca88c4173679ae235aab00fd4a472fcaa94f3bb2570149b8aed10131
HKEX:00087,HKEX-ISSUER:ab9ef72cc9ecfd99,00087,SWIRE PACIFIC B,Swire Pacific Ltd. 'B',CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,142,142,Swire Pacific Ltd. 'B',Equity,Equity Securities (Main Board),COMMON_EQUITY,2500,HK0087000532,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,af7bb47cbd8a3f7d410f890867811268827d64f3158e3c772f1ec12cec5a836b
HKEX:00101,HKEX-ISSUER:7cd3846b3630bcac,00101,HANG LUNG PPT,Hang Lung Properties Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,161,161,Hang Lung Properties Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0101000591,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,f61e225a54dfa2e9b50e0f19fa2d0891cedbdfa4d95226a2f323f3afc42f8f0e
HKEX:00107,HKEX-ISSUER:92c86d8a381d16c0,00107,SICHUAN EXPRESS,Sichuan Expressway Co. Ltd.  - H Shares,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,169,169|169,Sichuan Expressway Co. Ltd.  - A Shares|Sichuan Expressway Co. Ltd.  - H Shares,Equity,Equity Securities (Main Board),COMMON_EQUITY,2000,CNE100000494,HKD,,False,False,False,False,True,True,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,803b1895a5f5b790b3bbc969dec69d8d09e8c1306abce4857ca35ee9cb044f07
HKEX:00119,HKEX-ISSUER:5c7923ec79437192,00119,POLY PROPERTY,"Poly Property Group Co., Ltd.",CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,192,192,"Poly Property Group Co., Ltd.",Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0119000674,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,2304e21af29c6d52761e661d4a4612435f5c0950d32ba733940d7636271fb8fb
HKEX:00123,HKEX-ISSUER:18e7f4a8b35db173,00123,YUEXIU PROPERTY,Yuexiu Property Co. Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,196,196,Yuexiu Property Co. Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0000745908,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,6b9c548cacc52b3898bc293d42eac5d4b942447437f40fd1d3dfc609d0bdc3fc
HKEX:00135,HKEX-ISSUER:b0b5750dc9d4bbc2,00135,KUNLUN ENERGY,Kunlun Energy Co. Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,222,222,Kunlun Energy Co. Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,2000,BMG5320C1082,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,fa5582caaf7cac6859f8928f6af75becf21b200ffefa6f4fa0c444bcd6a2924f
HKEX:00136,HKEX-ISSUER:38668b842e2a728b,00136,CHINA RUYI,China Ruyi Holdings Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,223,223,China Ruyi Holdings Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,4000,BMG4404N1149,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,4f5412202ad9ef10b2d233fd1dc9b400995f624945d9d9634b3c322d570b1370
HKEX:00142,HKEX-ISSUER:f00ad48ca2e7ba5a,00142,FIRST PACIFIC,First Pacific Co. Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,236,236,First Pacific Co. Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,2000,BMG348041077,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,89c51ba3774717d9d03dcc4ee9fde444473bfcde1d925c027762fef2d854f7b7
HKEX:00144,HKEX-ISSUER:9a43d4bd78201bf2,00144,CHINA MER PORT,China Merchants Port Holdings Co. Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,241,241,China Merchants Port Holdings Co. Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,2000,HK0144000764,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,d5be6380c2a2bddbf9bec5b0ee023e2273a3ae1f3eb49c3c20887a7a3682c488
HKEX:00148,HKEX-ISSUER:359ebaf3d46992eb,00148,KINGBOARD HLDG,Kingboard Holdings Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,249,249,Kingboard Holdings Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,500,KYG525621408,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,3fe79edbe01a68d8e466f085733d233a92621ca452ea97159df5e226e745d5d9
HKEX:00151,HKEX-ISSUER:e0e4f93981ced164,00151,WANT WANT CHINA,Want Want China Holdings Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,21012,21012,Want Want China Holdings Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,KYG9431R1039,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,c0748a5496fae456e857312c31eb5ef5024be20b9edb7e69ddca915d14ff66c3
HKEX:00152,HKEX-ISSUER:bb167070c010564e,00152,SHENZHEN INT'L,Shenzhen International Holdings Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,258,258,Shenzhen International Holdings Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,500,BMG8086V1467,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,285c846185e4901a1a5e6158bd68427bc0da0c19dfc3ae6c7fe87f5867009d91
HKEX:00165,HKEX-ISSUER:0f6c6978cf7da4b3,00165,CHINA EB LTD,China Everbright Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,281,281,China Everbright Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,2000,HK0165000859,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,8e57c09f6f46e464284cd66d5cbb3b88d131c1a040cef9538fc3fd55cd5e09dd
HKEX:00168,HKEX-ISSUER:27f3f30e7bfe4034,00168,TSINGTAO BREW,Tsingtao Brewery Co. Ltd.  - H Shares,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,287,287|287,Tsingtao Brewery Co. Ltd.  - A Shares|Tsingtao Brewery Co. Ltd.  - H Shares,Equity,Equity Securities (Main Board),COMMON_EQUITY,2000,CNE1000004K1,HKD,,False,False,False,False,True,True,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,71dee36e261f88eaaa7ddde2d87ca9385986576723633ef2f98fbf3fbb4bd0d7
HKEX:00173,HKEX-ISSUER:751d56957a2bc596,00173,K. WAH INT'L,K. Wah International Holdings Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,300,300,K. Wah International Holdings Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,BMG5321P1169,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,7feb606ade5109ec17a4e479756921b97cebf1d84e95cef2989d838c3ccd1340
HKEX:00175,HKEX-ISSUER:e0663111149762d6,00175,GEELY AUTO,Geely Automobile Holdings Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,304,304,Geely Automobile Holdings Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,KYG3777B1032,HKD,80175,True,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,e310a4a33060c47191612c0ef9012763cd72b12dc7a2844a78bf6cb804e052a2
HKEX:00177,HKEX-ISSUER:ca39b7d7467d397f,00177,JIANGSU EXPRESS,Jiangsu Expressway Co. Ltd.  - H Shares,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,308,308|308,Jiangsu Expressway Co. Ltd.  - H Shares|Jiangsu Expressway Co. Ltd.  - Others,Equity,Equity Securities (Main Board),COMMON_EQUITY,2000,CNE1000003J5,HKD,,False,False,False,False,True,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,519072bb86044a9ca0c3ae670ce4c42b20cb82dd4f84b709a2916692b6b3e019
HKEX:00179,HKEX-ISSUER:0a4c8f1525dcbefb,00179,JOHNSON ELEC H,Johnson Electric Holdings Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,314,314,Johnson Electric Holdings Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,500,BMG5150J1577,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,b4827fdf5c87f15c1c87f16bfb3e0bb50971445a2b32393c5d2e01322dd2177c
HKEX:00187,HKEX-ISSUER:68c0ffe0adbf4053,00187,JINGCHENG MAC,Beijing Jingcheng Machinery Electric Co. Ltd.  - H Shares,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,323,323|323,Beijing Jingcheng Machinery Electric Co. Ltd.  - A Shares|Beijing Jingcheng Machinery Electric Co. Ltd.  - H Shares,Equity,Equity Securities (Main Board),COMMON_EQUITY,2000,CNE100000270,HKD,,False,False,False,False,True,True,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,8e14de9edbaa59c2d7c9af76ca5e67db99b495bfd2e12a712c5d993c506738fc
HKEX:00189,HKEX-ISSUER:2a2ef41cf2bbaf16,00189,DONGYUE GROUP,Dongyue Group Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,18536,18536,Dongyue Group Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,KYG2816P1072,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,bb36c5ec0439c239c0bb58193225eda79b9c021e968acb920996a97c1408bec0
HKEX:00200,HKEX-ISSUER:ca7e7c670282ff6d,00200,MELCO INT'L DEV,Melco International Development Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,342,342,Melco International Development Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0200030994,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,2ff1174bcf140bf1cea94f5d4637aaa15f363c7172305677a85d97f7d4ae798f
HKEX:00220,HKEX-ISSUER:cfc629e8c966e496,00220,U-PRESID CHINA,Uni-President China Holdings Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,18830,18830,Uni-President China Holdings Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,KYG9222R1065,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,0bbe537427a3fc3712e5851e0dc1bdbe39a9bfe4d8155dd8f6abc2333e545529
HKEX:00241,HKEX-ISSUER:b1a286983e511309,00241,ALI HEALTH,Alibaba Health Information Technology Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,413,413,Alibaba Health Information Technology Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,2000,BMG0171K1018,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,c0c1812b5ee425da5c4acd3c983defc4dc686d908b74d93525cc40fbc40fb2b4
HKEX:00257,HKEX-ISSUER:346ea05397749c40,00257,EB ENVIRONMENT,China Everbright Environment Group Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,440,440,China Everbright Environment Group Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0257001336,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,351171a4a9f8b18b958b055ab4d7b3405a70b30fad0bd7b5d1aad6993007f630
HKEX:00267,HKEX-ISSUER:80d80c5c08464f8e,00267,CITIC,CITIC Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,457,457,CITIC Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0267001375,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,8ef54a17ac5d68108f83cbfb732a24d73cf1729777944eaf17ac35cb838bf0f3
