symbol,name,overall_rank,screen_research_priority,evidence_id,research_id,research_stage,graduation_decision,decision_reason_codes_json,formal_research_object_created,source_count,research_status,next_workflow,candidate_pool_mutation_authorized,simulation_mutation_authorized,real_account_mutation_authorized,state_mutation_authorized,authority,trade_authority,decision_scope,graduated_meaning
002422.SZ,科伦药业,11,A_IMMEDIATE_RESEARCH,FMDL4A-EV-002422.SZ-89ce7ac393147629,FMDL4B-RSCH-002422.SZ-0dd95e8700e6472f,DEEP_DIVE,DEFERRED,"[""PIPELINE_OPTIONALITY"", ""Q1_EARNINGS_WEAKNESS"", ""ASSET_LEVEL_UNDERWRITING_REQUIRED""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,initiating-coverage,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
603501.SH,豪威集团,12,A_IMMEDIATE_RESEARCH,FMDL4A-EV-603501.SH-bbf662d192f4776a,FMDL4B-RSCH-603501.SH-b9f924473933f7b4,DEEP_DIVE,DEFERRED,"[""STRONG_FRANCHISE"", ""Q1_EARNINGS_DISLOCATION"", ""CONFIRMATION_REQUIRED""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,earnings-deep-dive,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
002718.SZ,友邦吊顶,13,A_IMMEDIATE_RESEARCH,FMDL4A-EV-002718.SZ-a01373881821c1a5,FMDL4B-RSCH-002718.SZ-41636d1af0c06149,REJECTED,REJECTED,"[""STRUCTURAL_DEMAND_RISK"", ""EARNINGS_DECLINE"", ""VALUATION_DISTORTED""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,NONE,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
002396.SZ,星网锐捷,14,A_IMMEDIATE_RESEARCH,FMDL4A-EV-002396.SZ-af3347d54c6b8a72,FMDL4B-RSCH-002396.SZ-76b5f9c557170586,INVESTMENT_CASE_READY,GRADUATED,"[""AI_NETWORK_EXPOSURE"", ""H1_ACCELERATION"", ""QUALITY_OF_EARNINGS_GATE""]",True,3,SOURCE_BACKED_BASELINE_COMPLETE,earnings-deep-dive,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,RESEARCH_CASE_READY_ONLY_NOT_CANDIDATE_POOL_ADMISSION_NOT_TRADE_READY
002937.SZ,兴瑞科技,15,A_IMMEDIATE_RESEARCH,FMDL4A-EV-002937.SZ-b722aa84d3a74864,FMDL4B-RSCH-002937.SZ-14acdfd8627f7f72,DEEP_DIVE,DEFERRED,"[""ATTRACTIVE_EXPOSURE"", ""MARGIN_NOT_CONFIRMING"", ""PROGRAM_ATTRIBUTION_REQUIRED""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,company-tearsheet,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
603669.SH,灵康药业,16,A_IMMEDIATE_RESEARCH,FMDL4A-EV-603669.SH-d48f59947c254437,FMDL4B-RSCH-603669.SH-cbec8cd24ec86643,REJECTED,REJECTED,"[""LOSS_MAKING"", ""LOW_FINANCIAL_QUALITY"", ""RECOVERY_NOT_PROVEN""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,NONE,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
301206.SZ,三元生物,17,A_IMMEDIATE_RESEARCH,FMDL4A-EV-301206.SZ-6fc2e9722ba105b5,FMDL4B-RSCH-301206.SZ-f97bb9a45eba4156,DEEP_DIVE,DEFERRED,"[""VOLUME_RECOVERY"", ""MARGIN_LAG"", ""COMMODITY_CYCLE_GATE""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,company-tearsheet,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
603757.SH,大元泵业,18,A_IMMEDIATE_RESEARCH,FMDL4A-EV-603757.SH-05f9a342f5c615b0,FMDL4B-RSCH-603757.SH-7dbce3d37680df1a,REJECTED,REJECTED,"[""EARNINGS_COLLAPSE"", ""CONTROL_CHANGE"", ""VALUATION_UNSUPPORTED""]",True,3,SOURCE_BACKED_BASELINE_COMPLETE,NONE,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
688669.SH,聚石化学,19,A_IMMEDIATE_RESEARCH,FMDL4A-EV-688669.SH-e91c75c2ee4d6fc0,FMDL4B-RSCH-688669.SH-6f9b4a11cdf74a77,REJECTED,REJECTED,"[""Q1_LOSS"", ""FINANCIAL_QUALITY_WEAK"", ""MOMENTUM_FALSE_POSITIVE""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,NONE,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
600018.SH,上港集团,20,A_IMMEDIATE_RESEARCH,FMDL4A-EV-600018.SH-35e74d8697da67e0,FMDL4B-RSCH-600018.SH-712c378d5627313c,INVESTMENT_CASE_READY,GRADUATED,"[""STRATEGIC_INFRASTRUCTURE"", ""VALUATION_SUPPORT"", ""CORE_VS_INVESTMENT_EARNINGS_GATE""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,initiating-coverage,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,RESEARCH_CASE_READY_ONLY_NOT_CANDIDATE_POOL_ADMISSION_NOT_TRADE_READY
920020.BJ,泰凯英,21,B_WATCH_OR_TRIGGER,FMDL4A-EV-920020.BJ-32e6a3147cfeb03f,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
301165.SZ,锐捷网络,22,B_WATCH_OR_TRIGGER,FMDL4A-EV-301165.SZ-bd6343086f02748b,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
300759.SZ,康龙化成,23,B_WATCH_OR_TRIGGER,FMDL4A-EV-300759.SZ-d3847f562b4e8959,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
002768.SZ,国恩股份,24,B_WATCH_OR_TRIGGER,FMDL4A-EV-002768.SZ-5e8511dfffaa0e04,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
002841.SZ,视源股份,25,B_WATCH_OR_TRIGGER,FMDL4A-EV-002841.SZ-514db5bcf4401c60,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
920367.BJ,新赣江,26,B_WATCH_OR_TRIGGER,FMDL4A-EV-920367.BJ-b92b5bb07c864b26,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
002371.SZ,北方华创,27,B_WATCH_OR_TRIGGER,FMDL4A-EV-002371.SZ-f38cfa1fe2b6cc81,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
002142.SZ,宁波银行,28,B_WATCH_OR_TRIGGER,FMDL4A-EV-002142.SZ-96a1258232b67536,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
920015.BJ,锦华新材,29,B_WATCH_OR_TRIGGER,FMDL4A-EV-920015.BJ-12c0b3e32556d7b8,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
000668.SZ,荣丰控股,30,B_WATCH_OR_TRIGGER,FMDL4A-EV-000668.SZ-9e4ab4b627dbba29,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
001227.SZ,兰州银行,31,B_WATCH_OR_TRIGGER,FMDL4A-EV-001227.SZ-38fff89007fb1cb2,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
688266.SH,泽璟制药,32,B_WATCH_OR_TRIGGER,FMDL4A-EV-688266.SH-96600ef2c0728100,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
601928.SH,凤凰传媒,33,B_WATCH_OR_TRIGGER,FMDL4A-EV-601928.SH-aee3b1fd5346b062,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
301365.SZ,矩阵股份,34,B_WATCH_OR_TRIGGER,FMDL4A-EV-301365.SZ-3e12b379b08cb2dd,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
002653.SZ,海思科,35,B_WATCH_OR_TRIGGER,FMDL4A-EV-002653.SZ-1ecd92f6b5eeff7b,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
601229.SH,上海银行,36,B_WATCH_OR_TRIGGER,FMDL4A-EV-601229.SH-dd5f7f2d1396772f,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
000691.SZ,亚太实业,37,B_WATCH_OR_TRIGGER,FMDL4A-EV-000691.SZ-b6f6cf84ff99ca4b,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
601211.SH,国泰海通,38,B_WATCH_OR_TRIGGER,FMDL4A-EV-601211.SH-e22b1af846ebad1e,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
600919.SH,江苏银行,39,B_WATCH_OR_TRIGGER,FMDL4A-EV-600919.SH-3be0456bff41916d,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
603139.SH,康惠股份,40,B_WATCH_OR_TRIGGER,FMDL4A-EV-603139.SH-ec83acce71846413,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
000759.SZ,中百集团,41,B_WATCH_OR_TRIGGER,FMDL4A-EV-000759.SZ-e345c5b35520a571,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
601985.SH,XD中国核,42,B_WATCH_OR_TRIGGER,FMDL4A-EV-601985.SH-e8568107cb4b05be,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
601918.SH,新集能源,43,B_WATCH_OR_TRIGGER,FMDL4A-EV-601918.SH-f825fa1009fcba47,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
300105.SZ,龙源技术,44,B_WATCH_OR_TRIGGER,FMDL4A-EV-300105.SZ-26ad323c43da5d56,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
000977.SZ,浪潮信息,45,B_WATCH_OR_TRIGGER,FMDL4A-EV-000977.SZ-e3ec7d19b056e7b7,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
000598.SZ,兴蓉环境,46,B_WATCH_OR_TRIGGER,FMDL4A-EV-000598.SZ-d1271d038acd07e3,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
301273.SZ,瑞晨环保,47,B_WATCH_OR_TRIGGER,FMDL4A-EV-301273.SZ-1fc8a510c8c256c1,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
002141.SZ,贤丰控股,48,B_WATCH_OR_TRIGGER,FMDL4A-EV-002141.SZ-e7759758e86395f2,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
002507.SZ,涪陵榨菜,49,B_WATCH_OR_TRIGGER,FMDL4A-EV-002507.SZ-42006f4e384d737b,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
301072.SZ,中捷精工,50,B_WATCH_OR_TRIGGER,FMDL4A-EV-301072.SZ-0172583b12e87849,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
002536.SZ,飞龙股份,51,B_WATCH_OR_TRIGGER,FMDL4A-EV-002536.SZ-986c05d2d7ba107a,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
688036.SH,传音控股,52,B_WATCH_OR_TRIGGER,FMDL4A-EV-688036.SH-cc31fbf5b0aa2d25,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
601668.SH,中国建筑,53,B_WATCH_OR_TRIGGER,FMDL4A-EV-601668.SH-d287a7b079e490b9,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
605186.SH,健麾信息,54,B_WATCH_OR_TRIGGER,FMDL4A-EV-605186.SH-44becc8ff7ad7b9f,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
603466.SH,风语筑,55,B_WATCH_OR_TRIGGER,FMDL4A-EV-603466.SH-7fbd655bca0e13dc,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
300999.SZ,金龙鱼,56,B_WATCH_OR_TRIGGER,FMDL4A-EV-300999.SZ-13e1449d68095d77,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
688103.SH,国力电子,57,B_WATCH_OR_TRIGGER,FMDL4A-EV-688103.SH-66de41cc212bd6ca,,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,0,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
